"id","inter_ideas","inter_votes","inter_comments"
393,4,77,35
612,2,5,9
784,13,24,4
2416,39,38,22
2521,52,2,50
2538,4,9,0
2548,91,936,215
2549,5,30,39
2577,13,0,5
2582,1,7,11
2595,128,752,152
2672,1,16,4
2746,0,11,66
3004,4,5,1
3030,1,1,9
3146,6,8,5
3166,1,0,0
3339,17,41,65
3533,0,0,7
3581,132,202,165
3700,3,5,3
3720,20,32,9
3779,28,41,94
3820,4,10,0
4022,3,7,10
4230,9,0,2
4275,0,0,2
4276,2,1,0
4318,40,25,13
4631,4,6,2
4656,9,0,0
4760,21,5,13
5162,0,5,30
5340,2,17,1
5883,2,3,2
6408,0,0,1
7108,26,19,23
7267,0,0,1
7283,0,0,7
7296,6,0,0
7758,33,19,5
7886,0,0,17
8188,8,15,8
8251,23,1,1
8325,55,8,2
8423,2,2,19
8531,2,0,12
8538,45,152,82
8686,26,8,1
8715,3,1,52
8873,2,10,3
8874,2,0,1
8960,12,1,24
9082,3,0,1
9092,0,0,4
9332,0,0,6
9340,1,3,23
9343,0,0,3
9376,42,44,1
9426,1,3,55
9537,11,6,9
9554,2,15,12
9726,2,15,3
9733,6,1,51
9747,7,0,0
9751,3,8,27
9831,14,0,0
9869,4,0,2
10007,12,19,7
10241,1,1,2
10282,7,1,1
10317,17,3,16
10319,0,0,4
10373,42,79,118
10469,80,129,18
10495,19,13,4
10727,11,5,5
10782,3,1,0
10806,4,13,0
11102,2,2,0
11250,65,27,1
11269,39,3,9
11275,32,42,30
11334,23,20,19
11338,1,0,1
11360,6,24,66
11372,2,2,0
11415,4,4,3
11467,36,25,5
11496,5,10,18
11516,25,32,11
11594,8,0,0
11663,2,11,47
11732,1,2,42
11786,44,166,125
12013,2,0,1
12022,17,13,2
12079,15,29,2
12279,58,1,1
12651,1,19,10
12676,5,27,72
12783,14,7,16
12820,12,3,0
12845,1,0,3
12860,2,2,10
12881,4,11,10
12933,6,5,4
12985,1,0,0
13016,4,1,8
13212,19,0,0
13228,4,2,2
13292,131,66,0
13364,2,6,76
13369,2,1,16
13494,6,15,62
13542,6,3,4
13834,145,4,173
14366,19,10,5
14387,0,0,2
14448,5,0,0
14631,64,9,0
